License plate,Frame no.,Timestamp(seconds)
XS-NB-23,1,0.5
98-THD-4,7,3.5
23-GSX-6,8,4.0
72-VGX-6,13,6.5
99-SZG-5,15,7.5
14-NJK-9,18,9.0
24-LB-HT,21,10.5
68-NS-ND,24,12.0
97-FB-FP,28,14.0
96-LKH-9,35,17.5
56-JTT-5,37,18.5
88-BB-TS,41,20.5
56-JTT-5,37,18.5
ZD-PB-67,47,23.5
92-GS-VH,51,25.5
02-BBG-7,54,27.0
73-PV-HB,57,28.5
93-PXS-9,61,30.5
BP-NL-93,65,32.5
43-HNN-2,68,34.0
43-JS-RT,70,35.0
63-HK-HD,74,37.0
92-LHR-6,78,39.0
63-HK-HD,74,37.0
3-VFX-39,84,42.0
01-XJ-ND,87,43.5
96-ND-JB,90,45.0
57-LF-JB,93,46.5
VD-020-P,96,48.0
5-SXB-74,100,50.0
23-GSR-5,105,52.5
27-LH-TB,109,54.5
XH-PN-44,115,57.5
01-RHD-6,119,59.5
69-GR-DH,123,61.5
64-LJ-GF,126,63.0
41-GFZ-8,130,65.0
28-RXT-9,135,67.5
89-LZ-GX,139,69.5
24-LSB-1,147,73.5
89-NV-JP,147,73.5
05-GH-JS,150,75.0
12-FP-RV,156,78.0
88-XP-FS,158,79.0
